PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C	65999	RMMXLENWKUUMAY-UHFFFAOYSA-N	C33H30N4O2	514.629
CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-]	38479	CHIFOSRWCNZCFN-UHFFFAOYSA-N	C13H19N3O4	281.312
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2	4908	INDBQLZJXZLFIT-UHFFFAOYSA-N	C15H21N3O	259.353
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O	2541	HTQMVQVXFRQIKW-UHFFFAOYSA-N	C24H20N6O3	440.463
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O	135415867	KGSXMPPBFPAXLY-UHFFFAOYSA-N	C25H20N4O5	456.458
CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]	34468	OFDYMSKSGFSLLM-UHFFFAOYSA-N	C11H13F3N4O4	322.244
CC1=C(C(=CC=C1)N)N	17593	AXNUJYHFQHQZBE-UHFFFAOYSA-N	C7H10N2	122.171
C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]	11313	IQFVPQOLBLOTPF-UHFFFAOYSA-L	C32H22N6Na2O6S2	696.664
CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC	3784	HMJIYCCIJYRONP-UHFFFAOYSA-N	C19H21N3O5	371.393
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6	2540	GHOSNRCGJFBJIB-UHFFFAOYSA-N	C33H34N6O6	610.671
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC	9829523	BMGQWWVMWDBQGC-IIFHNQTCSA-N	C35H30N4O4	570.649
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	6436173	NZCRJKRKKOLAOJ-XRCRFVBUSA-N	C43H51N3O11	785.891
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N	53462	ARZWATDYIYAUTA-UHFFFAOYSA-N	C11H10N4	198.229
CN(C1=C(C=C(C=C1C(F)(F)F)[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C=C2Br)Br)Br	44465	USMZPYXTVKAYST-UHFFFAOYSA-N	C14H7Br3F3N3O4	577.934
CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]	34469	RSVPPPHXAASNOL-UHFFFAOYSA-N	C13H17F3N4O4	350.298
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N.[Na+].[Na+]	13816	SUXCALIDMIIJCK-UHFFFAOYSA-L	C34H26N6Na2O6S2	724.718
CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-]	11761	DYSXLQBUUOPLBB-UHFFFAOYSA-N	C7H6N2O4	182.135
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1	1318	DGEZNRSVGBDHLK-UHFFFAOYSA-N	C12H8N2	180.21
CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N	11960529	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	C13H16N4O	244.298
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+]	5284349	XRPLBRIHZGVJIC-UHFFFAOYSA-L	C34H25N9Na2O7S2	781.73
CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O	3035817	KOZFSFOOLUUIGY-SOLYNIJKSA-N	C27H21N3O5	467.481
CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O	126565	UIARLYUEJFELEN-LROUJFHJSA-N	C26H21N3O4	439.471
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	72111	NZCRJKRKKOLAOJ-IIBMFGDOSA-N	C43H51N3O11	785.891
