PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
CC1=C2C(=CC=C1)N=CC=N2	61670	CQLOYHZZZCWHSG-UHFFFAOYSA-N	C9H8N2	144.177
C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2	11830	OQHHSGRZCKGLCY-UHFFFAOYSA-N	C9H6N2O2	174.159
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)N	6824	KLCDQSGLLRINHY-UHFFFAOYSA-N	C16H13N3	247.301
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O	6135	GJOHLWZHWQUKAU-UHFFFAOYSA-N	C15H27N3O9P2	455.341
C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2	1893	PQCAUHUKTBHUSA-UHFFFAOYSA-N	C7H5N3O2	163.136
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+]	135442942	AOMZHDJXSYHPKS-UHFFFAOYSA-L	C22H14N6Na2O9S2	616.487
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C	135409642	QJFSABGVXDWMIW-UHFFFAOYSA-N	C30H24N4O8	568.542
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	46783403	NZCRJKRKKOLAOJ-LGPAXTBISA-N	C43H51N3O11	785.891
C1=CC2=C(C=C1O)NC3=C4C(=C5C(=C23)C(=O)N(C5=O)NC(CO)CO)C6=C(N4C7C(C(C(C(O7)CO)O)O)O)C=C(C=C6)O	9808998	QMVPQBFHUJZJCS-NTKFZFFISA-N	C29H28N4O11	608.56
C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])NC(=O)C(=O)N3	3272524	UQNAFPHGVPVTAL-UHFFFAOYSA-N	C12H8N4O6S	336.278
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC	72271	PBCZSGKMGDDXIJ-HQCWYSJUSA-N	C28H26N4O4	482.54
CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C	62274	GMGWMIJIGUYNAY-UHFFFAOYSA-N	C12H12N4	212.256
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	44259	HKSZLNNOFSGOKW-FYTWVXJKSA-N	C28H26N4O3	466.541
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)O)N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)O)N	13817	PYPYDHUIORYEHW-UHFFFAOYSA-N	C34H28N6O6S2	680.754
C1=CC=C2C(=C1)C(=O)C3=CC(=C4C(=C3C2=O)NC5=C(C=C6C(=C5N4)C(=O)C7=CC=CC=C7C6=O)Cl)Cl	8532	UGCDBQWJXSAYIL-UHFFFAOYSA-N	C28H12Cl2N2O4	511.314
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C4=C(C(=C(C=C4C=C3S(=O)(=O)O)S(=O)(=O)O)N=NC5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+]	135422073	MWHBBQJVIWCEFG-UHFFFAOYSA-N	C34H29N13NaO7S2+	818.8
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	71296876	NZCRJKRKKOLAOJ-LXVXMSHWSA-N	C43H51N3O11	785.891
CC1=C(C=CC=C1C(F)(F)F)CN2C(=NC3=C2C=C(C=C3C(=O)O)N4CCOCC4)C	56949517	XTKLTGBKIDQGQL-UHFFFAOYSA-N	C22H22F3N3O3	433.431
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	44299148	HKSZLNNOFSGOKW-ZGQXJOJZSA-N	C28H26N4O3	466.541
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	16667733	NZCRJKRKKOLAOJ-HQDKJBBOSA-N	C43H51N3O11	785.891
CC1=C2C(=CC(=C1)C3=C(C=CC(=C3)OC(=O)C4=CC=CC=C4)Cl)N=NC(=N2)NC5=CC=C(C=C5)OCCN6CCCC6	11973736	JMGXJHWTVBGOKG-UHFFFAOYSA-N	C33H30ClN5O3	580.085
C1CN(CCN1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=C4	11256720	JJZFWROHYSMCMU-UHFFFAOYSA-N	C19H19N3O2S	353.44
CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4	10366136	DYNHJHQFHQTFTP-UHFFFAOYSA-N	C26H29N5O2	443.551
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	5311103	HKSZLNNOFSGOKW-VCPDCAFQSA-N	C28H26N4O3	466.541
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O	5284350	ATFARZXNCCWOKJ-UHFFFAOYSA-N	C34H27N9O7S2	737.766
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	451705	HKSZLNNOFSGOKW-HMWZOHBLSA-N	C28H26N4O3	466.541
C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O	95069	JGCSKOVQDXEQHI-UHFFFAOYSA-N	C13H8N2O2	224.219
CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C	72792	JIVLDFFWTQYGSR-UHFFFAOYSA-N	C14H12N2	208.264
CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C	65237	IYRGXJIJGHOCFS-UHFFFAOYSA-N	C14H12N2	208.264
CCN(CC)CCCCCCNC1=CC(=CC2=C(C=CN=C12)C)OC	42548	RVAKDGYPIVSYEU-UHFFFAOYSA-N	C21H33N3O	343.515
C1=CC2=C(C(=C1)N)N=CC=C2	11359	WREVVZMUNPAPOV-UHFFFAOYSA-N	C9H8N2	144.177
CC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)N	8578	BWLVSYUUKOQICP-UHFFFAOYSA-N	C17H15N3	261.328
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C4=C(C=C3)NC5=C(N4)C=CC6=C5C(=O)C7=CC=CC=C7C6=O	6690	UHOKSCJSTAHBSO-UHFFFAOYSA-N	C28H14N2O4	442.43
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	5279	HKSZLNNOFSGOKW-UHFFFAOYSA-N	C28H26N4O3	466.541
C1C2=C3C4=CC=CC=C4NC3=C5C(=C2C(=O)N1)C6=CC=CC=C6N5	3815	MEXUTNIFSHFQRG-UHFFFAOYSA-N	C20H13N3O	311.344
C1=CC(=C2C(=C1)NC(=N2)C3=CC=C(C=C3)O)C(=O)N	135546482	KOUGHMOSYJCJLE-UHFFFAOYSA-N	C14H11N3O2	253.261
CC1=CC(=C(C(=C1N)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC4=CC(=C(C=C4)[O-])C(=O)O)C)C)N)S(=O)(=O)[O-].[Na+].[Na+]	135499571	VHGDEGWDHMWQLR-UHFFFAOYSA-L	C28H24N6Na2O6S	618.576
C1=CC(=CC=C1N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)S(=O)(=O)CCOS(=O)(=O)[O-])N)O)S(=O)(=O)CCOS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]	135442967	HFIYIRIMGZMCPC-UHFFFAOYSA-J	C26H21N5Na4O19S6	991.789
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C4=C(C(=C(C=C4C=C3S(=O)(=O)O)S(=O)(=O)O)N=NC5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O	135422074	YILRCDLYJGTFTH-UHFFFAOYSA-N	C34H29N13O7S2	795.81
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+]	135422071	SZKZLHLJJLRYKJ-UHFFFAOYSA-N	C34H27N9NaO7S2+	760.756
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	57507834	NZCRJKRKKOLAOJ-CPJOEXDVSA-N	C43H51N3O11	785.891
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	44384716	NZCRJKRKKOLAOJ-XWSQLESMSA-N	C43H51N3O11	785.891
C1=CC=C2C(=C1)C3=C(C=CC(=C3)Cl)C4=C2N=C(N4)C5=C(C=CC=C5C#N)C#N	16070041	BVFLHOOKHPFDCT-UHFFFAOYSA-N	C23H11ClN4	378.819
COC1=CC(=C2C(=C1)C=CC=N2)N3CCN(CC3)C4CCN(CC4)C5=C6C(=C(C=C5)F)C=CC=N6	12004142	XPHZCOLHJWNPNX-UHFFFAOYSA-N	C28H30FN5O	471.58
CC(C)C1=NC2=C(C=CC=C2N1)C(=O)NCC3CCN(CC3)CC4CCN(CC4)C(=O)OC	11961293	MZOITCJKGUIQEI-UHFFFAOYSA-N	C25H37N5O3	455.603
CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O.Cl	11507658	GIEFXLLRTJNFGT-LOCPCMAASA-N	C14H20ClN3O2	297.783
CC1=C(C=CC=N1)C(=O)NC2=C3C(=CC(=C2OC)Cl)C4=C(N3)C=NC=C4	9929127	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	C19H15ClN4O2	366.805
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)O)N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)O)N.[Na+]	9874931	LZHWIDLBJGILAA-UHFFFAOYSA-N	C34H28N6NaO6S2+	703.744
C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C3=NNN=C23)C#N)Br	9841667	SEDUMQWZEOMXSO-UHFFFAOYSA-N	C14H9BrN6O	357.171
CN1CCN(CC1)C2=CC=CC3=C2NC=C3S(=O)(=O)C4=CC=CC=C4	6918682	AOPYPEADLGTXRA-UHFFFAOYSA-N	C19H21N3O2S	355.456
C1CC2=C3C(=CC=C2)N(S(=O)(=O)N3C1)CCN4CCC(=CC4)C5=CNC6=C5C=CC(=C6)F	4605800	BJIPVHLRWSDKOS-UHFFFAOYSA-N	C24H25FN4O2S	452.548
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC	3078519	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	C28H26N4O4	482.54
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2	3044369	INDBQLZJXZLFIT-NSHDSACASA-N	C15H21N3O	259.353
CC1=C2C(=CC=C1)NC(=S)N2	3034478	UDQCDDZBBZNIFA-UHFFFAOYSA-N	C8H8N2S	164.226
C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4[N+](=O)[O-])[N+](=O)[O-])C=C2	3033659	PEOXEBCFEGFKKE-UHFFFAOYSA-N	C16H8N2O4	292.25
CC1CN2C3=C(C=CC(=C3CN1CC=C(C)C)Cl)NC2=S	3000323	ZNFFMCYSMBXZQU-NSHDSACASA-N	C16H20ClN3S	321.867
CC1CN2C3=C(C=C(C=C3CN1CC=C(C)C)Cl)NC2=S	3000237	RCSLUNOLLUVOOG-NSHDSACASA-N	C16H20ClN3S	321.867
C1=CC(=C2C(=C1)N=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N	657038	FLYGLPYJEQPCFY-UHFFFAOYSA-N	C15H10ClN3O	283.715
CC1=C2C(=CC=C1)N(C(=N2)NC3CCN(CC3)CCN)CC4=C(C=CC(=N4)C)O	511013	RDQSNNMSDOHAPG-UHFFFAOYSA-N	C22H30N6O	394.523
CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O	490561	KOZFSFOOLUUIGY-IYYJOCMQSA-N	C27H21N3O5	467.481
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O	359247	RKFFPTPBADAVDU-UHFFFAOYSA-N	C15H24N3O5P	357.347
CN(C)CCCN1C2=C3C(=C(C=C2)[N+](=O)[O-])NC4=C(C3=N1)C=C(C=C4)OC	339455	HZCWPKGYTCJSEB-UHFFFAOYSA-N	C19H21N5O3	367.409
C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl	216468	SETFNECMODOHTO-UHFFFAOYSA-N	C14H12ClN3O4S2	385.837
C1=C(C=C(C(=C1[N+](=O)[O-])N)C(=O)N)[N+](=O)[O-]	198148	KTGYSUKUKPGPES-UHFFFAOYSA-N	C7H6N4O5	226.148
CC1=NC2=C(C=CC=C2N)C=C1	140457	JHIAOWGCGNMQKA-UHFFFAOYSA-N	C10H10N2	158.204
CCN(CC)CCNC1=C2C3=C(C=C1)N=CN3C4=C(C2=O)C=C(C=C4)O	132127	CUNDRHORZHFPLY-UHFFFAOYSA-N	C20H22N4O2	350.422
CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)OC)C=CC=N3	130606	HKRNYOZJJMFDBV-UHFFFAOYSA-N	C17H16N2O3S	328.386
CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC	115358	LBHLFPGPEGDCJG-UHFFFAOYSA-N	C24H28F3N3O3	463.501
CC1=CC2=NC=C(N=C2C3=C1N(C(=N3)N)C)C	104739	LAZSIJHHPMHKQI-UHFFFAOYSA-N	C12H13N5	227.271
C1=CC2=C(C(=C1)N)NN=C2	88901	OTFFCAGPSWJBDK-UHFFFAOYSA-N	C7H7N3	133.154
CC1=CN=C2C(=C1C)C=CC3=C(C(=CN=C32)C)C	74265	NPAXPTHCUCUHPT-UHFFFAOYSA-N	C16H16N2	236.318
CC1=NC2=C(C=CC3=C2N=C(C=C3C4=CC=CC=C4)C)C(=C1)C5=CC=CC=C5	65149	STTGYIUESPWXOW-UHFFFAOYSA-N	C26H20N2	360.46
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O	21226	PPQJCISYYXZCAE-UHFFFAOYSA-N	C12H10N2O	198.225
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)N)N	15652	LRMDXTVKVHKWEK-UHFFFAOYSA-N	C14H10N2O2	238.246
CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O	3813	KOZFSFOOLUUIGY-UHFFFAOYSA-N	C27H21N3O5	467.481
CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O	3501	VWVYILCFSYNJHF-UHFFFAOYSA-N	C24H18N4O	378.435
C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br	1649	NFSTZPMYAZRZPC-UHFFFAOYSA-N	C7H4BrN3O2	242.032
CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5	135440466	ZWVZORIKUNOTCS-OAQYLSRUSA-N	C25H26ClN5O3	479.965
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C4=C(C(=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+]	135430271	UZZFFIUHUDOYPS-UHFFFAOYSA-L	C34H27N13Na2O7S2	839.774
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	134754219	NZCRJKRKKOLAOJ-UPMLHBPDSA-N	C43H51N3O11	785.891
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	131632292	NZCRJKRKKOLAOJ-YBBURSODSA-N	C43H51N3O11	785.891
CC1CC(=O)NC2=CC=CC(=C2N1)C3=CC4=C(C=C3)N(N=C4C5=CN(N=C5)C)C	121271792	BFTKDWYIRJGJCA-CYBMUJFWSA-N	C22H22N6O	386.459
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	101307877	NZCRJKRKKOLAOJ-KPKMWDGOSA-N	C43H51N3O11	785.891
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	73921395	NZCRJKRKKOLAOJ-SKANFOMZSA-N	C43H51N3O11	785.891
CC1C=CCC2CNC(=O)C3=C2NC(=C3)C4=C5C(=CC=C4)N=C(C(=N5)N1)C	73056835	DDQXBYGNFGPJRL-CLZWFORCSA-N	C21H21N5O	359.433
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	72698618	NZCRJKRKKOLAOJ-KOPWYESNSA-N	C43H51N3O11	785.891
C1CCC(C(C1)N)NC2=NC(=C(N=N2)C(=O)N)NC3=CC=CC4=C3NC=C4	72202597	FPQNRXITKTZFMF-NWDGAFQWSA-N	C18H22N8O	366.429
CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)C8CC(CN8C(=O)C(C9=CC=CC=C9)NC(=O)OC)COC	67683363	FHCUMDQMBHQXKK-CDIODLITSA-N	C49H54N8O8	883.019
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC3=C2N=CN3)C(F)(F)F)C4=NNN=N4	56964111	MQJFWUUNKXRFOL-UHFFFAOYSA-N	C16H10F3N7O	373.299
CC1=NC2=C(C=CC=C2N1C3=CC=C(S3)C(=O)NC4CC4)C#N	53494972	XRXYHTFKWSMTFI-UHFFFAOYSA-N	C17H14N4OS	322.386
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	53395233	NZCRJKRKKOLAOJ-UHFFFAOYSA-N	C43H51N3O11	785.891
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	49831000	HKSZLNNOFSGOKW-ZYSRIHRCSA-N	C28H26N4O3	466.541
C1CNCCC1N2C=C(C=N2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCOCC6)F	46398810	IBPVXAOOVUAOKJ-UHFFFAOYSA-N	C27H28F2N6O	490.559
CC1=C2C(=CC(=C1)C3CCN(CC3)CCNC)NC(=N2)C4=C(C=CC=C4OC)OC	44622850	PFOQIHIIOLBCEQ-UHFFFAOYSA-N	C24H32N4O2	408.546
C1C2C=CC1C3C2C(=O)N(C3=O)C4=CC=C(C=C4)C(=O)NC5=CC=CC6=C5N=CC=C6	44483163	ZGSXEXBYLJIOGF-ALFLXDJESA-N	C25H19N3O3	409.445
C1=CC=C2C(=C1)C3=C(N2)C4=C(C=C3)C(=CN4)C=O	44241505	VWNCOFUKBTYAON-UHFFFAOYSA-N	C15H10N2O	234.258
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	44120114	HKSZLNNOFSGOKW-UCBFMKAXSA-N	C28H26N4O3	466.541
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C	42608884	NZCRJKRKKOLAOJ-VXTOCXBKSA-N	C43H51N3O11	785.891
