PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
C1=CC=C(C=C1)[C]=O	12374794	LEVJVKGPFAQPOI-PTQBSOBMSA-N	C7H5O	106.108
C=C[C]=C	12432428	ZQHGTWBTOVSLEJ-UHFFFAOYSA-N	C4H5	53.084
C[CH2]	12438645	QUPDWYMUPZLYJZ-MICDWDOJSA-N	C2H5	30.068
C[CH2]	12438647	QUPDWYMUPZLYJZ-LNLMKGTHSA-N	C2H5	33.086
C[C]=C	12478066	NMTZQIYQFZGXQT-UHFFFAOYSA-N	C3H5	41.073
[CH2]C=CC=[CH]	12591251	ZSHYOYIAPIWMET-UHFFFAOYSA-N	C5H6	66.103
[CH2]C[CH2]	12600035	CUJPFPXNDSIBPG-UHFFFAOYSA-N	C3H6	42.081
CC=C=[CH+]	12687474	AOGJQIHRYOTHDX-UHFFFAOYSA-N	C4H5+	53.084
C[C+]=CC=O	12770376	JURXVAALIHDVBU-UHFFFAOYSA-N	C4H5O+	69.083
C1=CC=C(C=C1)C=O	12998377	HUMNYLRZRPPJDN-ZQBYOMGUSA-N	C7H6O	108.116
CC(=C=C)C=O	13401730	PCHLTWQCVLYYFN-UHFFFAOYSA-N	C5H6O	82.102
C[CH2+]	13595834	YQHHCMVUMULAPZ-KPAILUHGSA-N	C2H5+	34.093
[CH3].O	15575642	SMHISIZROZUMKF-UHFFFAOYSA-N	CH5O	33.05
CC=C	15579316	QQONPFPTGQHPMA-KPAILUHGSA-N	C3H6	47.112
C=CC=[CH]	15579367	AHZKOHHBQMSKLP-UHFFFAOYSA-N	C4H5	53.084
CC=C	15621142	QQONPFPTGQHPMA-VQEHIDDOSA-N	C3H6	43.073
[H+].[O-2]	18186120	AHKZTVQIVOEVFO-UHFFFAOYSA-O	HO-	17.007
[H+].[H+].C	18330992	VNWKTOKETHGBQD-UHFFFAOYSA-P	CH6+2	18.059
[H+].[H+].[H+]	18362091	GORXKVWHEWIULS-UHFFFAOYSA-N	H3+3	3.024
[H+].[H+].[H+].[H+]	18681220	OAUPOWCLZQXUBR-UHFFFAOYSA-N	H4+4	4.032
[H+].[H+].[H+].[H+].[H+]	18681221	WMIIIDVSYSYLGM-UHFFFAOYSA-N	H5+5	5.04
[H+].C=CC=O	19358980	HGINCPLSRVDWNT-UHFFFAOYSA-O	C3H5O+	57.072
C.C=O	19827224	LSNXEANQILECTB-UHFFFAOYSA-N	C2H6O	46.069
