PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHI	PUBCHEM_MOLECULAR_WEIGHT
COC1=CC(=C(C=C1)OC)C(=O)O	76027	InChI=1S/C9H10O4/c1-12-6-3-4-8(13-2)7(5-6)9(10)11/h3-5H,1-2H3,(H,10,11)	182.175
C1=CC=C(C=C1)OC2=CC=CC=C2C(=O)O	75237	InChI=1S/C13H10O3/c14-13(15)11-8-4-5-9-12(11)16-10-6-2-1-3-7-10/h1-9H,(H,14,15)	214.22
C1=CC=C(C(=C1)C(=O)O)OCC(=O)O	69461	InChI=1S/C9H8O5/c10-8(11)5-14-7-4-2-1-3-6(7)9(12)13/h1-4H,5H2,(H,10,11)(H,12,13)	196.158
CCOC1=CC=CC=C1C(=O)O	67252	InChI=1S/C9H10O3/c1-2-12-8-6-4-3-5-7(8)9(10)11/h3-6H,2H2,1H3,(H,10,11)	166.176
CC1=CC=CC=C1OC(=O)C2=CC=CC=C2O	61159	InChI=1S/C14H12O3/c1-10-6-2-5-9-13(10)17-14(16)11-7-3-4-8-12(11)15/h2-9,15H,1H3	228.247
CC(=O)OC1=CC=CC=C1C(=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)[O-].[Ca+2]	6247	InChI=1S/2C9H8O4.Ca/c2*1-6(10)13-8-5-3-2-4-7(8)9(11)12;/h2*2-5H,1H3,(H,11,12);/q;;+2/p-2	398.38
CC(=O)OC1=CC=CC=C1C(=O)[O-].C(=O)(N)N.[Ca+2]	23618458	InChI=1S/C9H8O4.CH4N2O.Ca/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;2-1(3)4;/h2-5H,1H3,(H,11,12);(H4,2,3,4);/q;;+2/p-1	279.285
COC1=CC=CC=C1C(=O)OC(=O)C2=CC=CC=C2OC	15574215	InChI=1S/C16H14O5/c1-19-13-9-5-3-7-11(13)15(17)21-16(18)12-8-4-6-10-14(12)20-2/h3-10H,1-2H3	286.283
CCCCCCOC1=CC=CC=C1C(=O)O	14205677	InChI=1S/C13H18O3/c1-2-3-4-7-10-16-12-9-6-5-8-11(12)13(14)15/h5-6,8-9H,2-4,7,10H2,1H3,(H,14,15)	222.284
C1=CC=C(C(=C1)C(=O)O)OC(F)(F)F	2777223	InChI=1S/C8H5F3O3/c9-8(10,11)14-6-4-2-1-3-5(6)7(12)13/h1-4H,(H,12,13)	206.12
COC1=CC=CC=C1OC2=CC=CC=C2C(=O)O	578689	InChI=1S/C14H12O4/c1-17-12-8-4-5-9-13(12)18-11-7-3-2-6-10(11)14(15)16/h2-9H,1H3,(H,15,16)	244.246
COC1=CC=CC=C1C(=O)OC2=CC=CC=C2	517799	InChI=1S/C14H12O3/c1-16-13-10-6-5-9-12(13)14(15)17-11-7-3-2-4-8-11/h2-10H,1H3	228.247
CCCCCCCCCCCCOC1=CC=CC=C1C(=O)O	289454	InChI=1S/C19H30O3/c1-2-3-4-5-6-7-8-9-10-13-16-22-18-15-12-11-14-17(18)19(20)21/h11-12,14-15H,2-10,13,16H2,1H3,(H,20,21)	306.446
CC(=O)OC1=CC=CC(=C1)C(=O)O	238669	InChI=1S/C9H8O4/c1-6(10)13-8-4-2-3-7(5-8)9(11)12/h2-5H,1H3,(H,11,12)	180.159
CCCCOC(=O)C1=CC=CC=C1OC	222469	InChI=1S/C12H16O3/c1-3-4-9-15-12(13)10-7-5-6-8-11(10)14-2/h5-8H,3-4,9H2,1-2H3	208.257
CCOC1=CC=CC=C1C(=O)OCC	221644	InChI=1S/C11H14O3/c1-3-13-10-8-6-5-7-9(10)11(12)14-4-2/h5-8H,3-4H2,1-2H3	194.23
CC(=O)C1=CC=CC=C1OC(=O)C	16716	InChI=1S/C10H10O3/c1-7(11)9-5-3-4-6-10(9)13-8(2)12/h3-6H,1-2H3	178.187
CCCC(=O)C1=C(C2=CC=CC=C2OC1=O)O	54689724	InChI=1S/C13H12O4/c1-2-5-9(14)11-12(15)8-6-3-4-7-10(8)17-13(11)16/h3-4,6-7,15H,2,5H2,1H3	232.235
CCCCC(=O)C1=C(C2=CC=CC=C2OC1=O)O	54677775	InChI=1S/C14H14O4/c1-2-3-7-10(15)12-13(16)9-6-4-5-8-11(9)18-14(12)17/h4-6,8,16H,2-3,7H2,1H3	246.262
CC(=O)OC1=CC=CC=C1C(=O)[O-].[Na+]	23666729	InChI=1S/C9H8O4.Na/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;/h2-5H,1H3,(H,11,12);/q;+1/p-1	202.141
COC(=O)C1=CC=CC=C1OC(=O)C=C	22250625	InChI=1S/C11H10O4/c1-3-10(12)15-9-7-5-4-6-8(9)11(13)14-2/h3-7H,1H2,2H3	206.197
CCCOC(=O)C1=CC=CC=C1OC	20530775	InChI=1S/C11H14O3/c1-3-8-14-11(12)9-6-4-5-7-10(9)13-2/h4-7H,3,8H2,1-2H3	194.23
CCCCCCCCOC1=CC=CC=C1C(=O)O	20082775	InChI=1S/C15H22O3/c1-2-3-4-5-6-9-12-18-14-11-8-7-10-13(14)15(16)17/h7-8,10-11H,2-6,9,12H2,1H3,(H,16,17)	250.338
C1=CC=C(C=C1)OC(=O)C2=C(C=CC(=C2)O)O	14453623	InChI=1S/C13H10O4/c14-9-6-7-12(15)11(8-9)13(16)17-10-4-2-1-3-5-10/h1-8,14-15H	230.219
C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)O)O	13270678	InChI=1S/C13H10O4/c14-9-5-7-10(8-6-9)17-13(16)11-3-1-2-4-12(11)15/h1-8,14-15H	230.219
C1=CC=C(C(=C1)C(=O)OC2=CC=CC(=C2)O)O	13270675	InChI=1S/C13H10O4/c14-9-4-3-5-10(8-9)17-13(16)11-6-1-2-7-12(11)15/h1-8,14-15H	230.219
CC(C)OC1=CC=CC=C1C(=O)O	12357674	InChI=1S/C10H12O3/c1-7(2)13-9-6-4-3-5-8(9)10(11)12/h3-7H,1-2H3,(H,11,12)	180.203
CC(=O)OC1=CC=CC=C1C(=O)OCCCCO[N+](=O)[O-]	9839177	InChI=1S/C13H15NO7/c1-10(15)21-12-7-3-2-6-11(12)13(16)19-8-4-5-9-20-14(17)18/h2-3,6-7H,4-5,8-9H2,1H3	297.263
CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC(=C2)CO	9795871	InChI=1S/C16H14O5/c1-11(18)20-15-8-3-2-7-14(15)16(19)21-13-6-4-5-12(9-13)10-17/h2-9,17H,10H2,1H3	286.283
COC1=C(C=CC=C1C(=O)O)C(=O)O	4558811	InChI=1S/C9H8O5/c1-14-7-5(8(10)11)3-2-4-6(7)9(12)13/h2-4H,1H3,(H,10,11)(H,12,13)	196.158
CC(=O)OC1=CC=CC=C1C(=O)[O-]	3434975	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)/p-1	179.151
CCCCCCC(=O)OC1=CC=CC=C1C(=O)O	3055063	InChI=1S/C14H18O4/c1-2-3-4-5-10-13(15)18-12-9-7-6-8-11(12)14(16)17/h6-9H,2-5,10H2,1H3,(H,16,17)	250.294
CCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	3053800	InChI=1S/C15H20O4/c1-2-3-4-5-6-11-14(16)19-13-10-8-7-9-12(13)15(17)18/h7-10H,2-6,11H2,1H3,(H,17,18)	264.321
C1=CC=C(C(=C1)C(=O)O)OC2=CC=C(C=C2)F	3008367	InChI=1S/C13H9FO3/c14-9-5-7-10(8-6-9)17-12-4-2-1-3-11(12)13(15)16/h1-8H,(H,15,16)	232.21
CCOC(=O)C1=CC=CC=C1OC2=CC=CC=C2	2760340	InChI=1S/C15H14O3/c1-2-17-15(16)13-10-6-7-11-14(13)18-12-8-4-3-5-9-12/h3-11H,2H2,1H3	242.274
COC1=C(C=C(C=C1)F)C(=O)O	2737364	InChI=1S/C8H7FO3/c1-12-7-3-2-5(9)4-6(7)8(10)11/h2-4H,1H3,(H,10,11)	170.139
COC1=C(C=CC=C1F)C(=O)O	2737361	InChI=1S/C8H7FO3/c1-12-7-5(8(10)11)3-2-4-6(7)9/h2-4H,1H3,(H,10,11)	170.139
C1=CC=C(C(=C1)C(=O)O)OCCOC2=CC=CC=C2C(=O)O	2173682	InChI=1S/C16H14O6/c17-15(18)11-5-1-3-7-13(11)21-9-10-22-14-8-4-2-6-12(14)16(19)20/h1-8H,9-10H2,(H,17,18)(H,19,20)	302.282
C1=CC=C(C(=C1)C(=O)O)OC(F)F	2063348	InChI=1S/C8H6F2O3/c9-8(10)13-6-4-2-1-3-5(6)7(11)12/h1-4,8H,(H,11,12)	188.13
C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)O	1810581	InChI=1S/C14H12O3/c15-14(16)12-8-4-5-9-13(12)17-10-11-6-2-1-3-7-11/h1-9H,10H2,(H,15,16)	228.247
CC1=CC(=C(C=C1)C(=O)O)OC	597164	InChI=1S/C9H10O3/c1-6-3-4-7(9(10)11)8(5-6)12-2/h3-5H,1-2H3,(H,10,11)	166.176
CC1=CC=C(C=C1)OC2=CC=CC=C2C(=O)O	578656	InChI=1S/C14H12O3/c1-10-6-8-11(9-7-10)17-13-5-3-2-4-12(13)14(15)16/h2-9H,1H3,(H,15,16)	228.247
CCCOC1=CC=CC=C1C(=O)O	539215	InChI=1S/C10H12O3/c1-2-7-13-9-6-4-3-5-8(9)10(11)12/h3-6H,2,7H2,1H3,(H,11,12)	180.203
CC1=CC(=C(C=C1)OC)C(=O)O	520167	InChI=1S/C9H10O3/c1-6-3-4-8(12-2)7(5-6)9(10)11/h3-5H,1-2H3,(H,10,11)	166.176
CC(=O)OC1=CC(=C(C=C1)C(=O)O)O	458215	InChI=1S/C9H8O5/c1-5(10)14-6-2-3-7(9(12)13)8(11)4-6/h2-4,11H,1H3,(H,12,13)	196.158
C1=CC=C(C(=C1)C(=O)O)OC2=CC=CC=C2C(=O)O	423920	InChI=1S/C14H10O5/c15-13(16)9-5-1-3-7-11(9)19-12-8-4-2-6-10(12)14(17)18/h1-8H,(H,15,16)(H,17,18)	258.229
CCOC1=CC=CC=C1C(=O)OC	347794	InChI=1S/C10H12O3/c1-3-13-9-7-5-4-6-8(9)10(11)12-2/h4-7H,3H2,1-2H3	180.203
COCCOC(=O)C1=CC=CC=C1O	345902	InChI=1S/C10H12O4/c1-13-6-7-14-10(12)8-4-2-3-5-9(8)11/h2-5,11H,6-7H2,1H3	196.202
CC(=O)OC1=CC=CC=C1C(=O)OCC2=CC=CC=C2	334306	InChI=1S/C16H14O4/c1-12(17)20-15-10-6-5-9-14(15)16(18)19-11-13-7-3-2-4-8-13/h2-10H,11H2,1H3	270.284
COC1=C(C=CC(=C1)C(=O)O)C(=O)O	282998	InChI=1S/C9H8O5/c1-14-7-4-5(8(10)11)2-3-6(7)9(12)13/h2-4H,1H3,(H,10,11)(H,12,13)	196.158
COC(=O)C1=CC=CC=C1OCC2=CC=CC=C2	251331	InChI=1S/C15H14O3/c1-17-15(16)13-9-5-6-10-14(13)18-11-12-7-3-2-4-8-12/h2-10H,11H2,1H3	242.274
CC(=O)OC1=CC=CC=C1C=O	237228	InChI=1S/C9H8O3/c1-7(11)12-9-5-3-2-4-8(9)6-10/h2-6H,1H3	164.16
CC1=CC=CC=C1OC2=CC=CC=C2C(=O)O	233038	InChI=1S/C14H12O3/c1-10-6-2-4-8-12(10)17-13-9-5-3-7-11(13)14(15)16/h2-9H,1H3,(H,15,16)	228.247
CC(=O)OC1=CC(=C(C=C1)C(=O)O)OC(=O)C	223348	InChI=1S/C11H10O6/c1-6(12)16-8-3-4-9(11(14)15)10(5-8)17-7(2)13/h3-5H,1-2H3,(H,14,15)	238.195
CC(=C)C(=O)OC1=CC=CC=C1C(=O)O	198203	InChI=1S/C11H10O4/c1-7(2)11(14)15-9-6-4-3-5-8(9)10(12)13/h3-6H,1H2,2H3,(H,12,13)	206.197
CC1=C(C(=O)C=CO1)OC(=O)C2=CC=CC=C2OC(=O)C	197341	InChI=1S/C15H12O6/c1-9-14(12(17)7-8-19-9)21-15(18)11-5-3-4-6-13(11)20-10(2)16/h3-8H,1-2H3	288.255
CC(=O)OC1=C(C=C(C=C1C(=O)O)I)I	160267	InChI=1S/C9H6I2O4/c1-4(12)15-8-6(9(13)14)2-5(10)3-7(8)11/h2-3H,1H3,(H,13,14)	431.952
C1=CC=C(C(=C1)C(=O)O)OC(=O)CBr	131772	InChI=1S/C9H7BrO4/c10-5-8(11)14-7-4-2-1-3-6(7)9(12)13/h1-4H,5H2,(H,12,13)	259.055
CCCCCC(=O)OC1=CC=CC=C1C(=O)O	94717	InChI=1S/C13H16O4/c1-2-3-4-9-12(14)17-11-8-6-5-7-10(11)13(15)16/h5-8H,2-4,9H2,1H3,(H,15,16)	236.267
CCCC(=O)OC1=CC=CC=C1C(=O)O	94716	InChI=1S/C11H12O4/c1-2-5-10(12)15-9-7-4-3-6-8(9)11(13)14/h3-4,6-7H,2,5H2,1H3,(H,13,14)	208.213
CC(=O)OC1=CC=CC=C1C(=O)OCSC	93455	InChI=1S/C11H12O4S/c1-8(12)15-10-6-4-3-5-9(10)11(13)14-7-16-2/h3-6H,7H2,1-2H3	240.273
COC1=CC=CC(=C1)OC2=CC=CC=C2C(=O)O	89098	InChI=1S/C14H12O4/c1-17-10-5-4-6-11(9-10)18-13-8-3-2-7-12(13)14(15)16/h2-9H,1H3,(H,15,16)	244.246
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCl	80184	InChI=1S/C9H7ClO4/c10-5-8(11)14-7-4-2-1-3-6(7)9(12)13/h1-4H,5H2,(H,12,13)	214.601
CC(=O)C1=CC=CC=C1OC(=O)C2=CC=CC=C2	77627	InChI=1S/C15H12O3/c1-11(16)13-9-5-6-10-14(13)18-15(17)12-7-3-2-4-8-12/h2-10H,1H3	240.258
CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2	67256	InChI=1S/C15H12O4/c1-11(16)18-14-10-6-5-9-13(14)15(17)19-12-7-3-2-4-8-12/h2-10H,1H3	256.257
COC1=CC=CC=C1OC(=O)C2=CC=CC=C2O	66596	InChI=1S/C14H12O4/c1-17-12-8-4-5-9-13(12)18-14(16)10-6-2-3-7-11(10)15/h2-9,15H,1H3	244.246
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCC(=O)OC2=CC=CC=C2C(=O)O	65042	InChI=1S/C18H14O8/c19-15(25-13-7-3-1-5-11(13)17(21)22)9-10-16(20)26-14-8-4-2-6-12(14)18(23)24/h1-8H,9-10H2,(H,21,22)(H,23,24)	358.302
COC(=O)OC1=CC=CC=C1C(=O)O	26579	InChI=1S/C9H8O5/c1-13-9(12)14-7-5-3-2-4-6(7)8(10)11/h2-5H,1H3,(H,10,11)	196.158
C1=CC=C(C=C1)C(=O)C2=C(C3=CC=CC=C3OC2=O)O	135407308	InChI=1S/C16H10O4/c17-14(10-6-2-1-3-7-10)13-15(18)11-8-4-5-9-12(11)20-16(13)19/h1-9,18H	266.252
CC(=O)OC1=CC=CC=C1C(=O)O.O=[Al]O[Al]=O	129634348	InChI=1S/C9H8O4.2Al.3O/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;;;;;/h2-5H,1H3,(H,11,12);;;;;	282.119
CC(=O)OC1=CC=CC=C1C(=O)O.[O-2].[O-2].[O-2].[Al+3].[Al+3]	71586929	InChI=1S/C9H8O4.2Al.3O/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;;;;;/h2-5H,1H3,(H,11,12);;;;;/q;2*+3;3*-2	282.119
CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=C(C=C2)CCO	56924661	InChI=1S/C17H16O5/c1-12(19)21-16-5-3-2-4-15(16)17(20)22-14-8-6-13(7-9-14)10-11-18/h2-9,18H,10-11H2,1H3	300.31
CCCCCCCC(=O)C1=C(C2=CC=CC=C2OC1=O)O	54680875	InChI=1S/C17H20O4/c1-2-3-4-5-6-10-13(18)15-16(19)12-9-7-8-11-14(12)21-17(15)20/h7-9,11,19H,2-6,10H2,1H3	288.343
CCC(=O)C1=C(C2=CC=CC=C2OC1=O)O	54677438	InChI=1S/C12H10O4/c1-2-8(13)10-11(14)7-5-3-4-6-9(7)16-12(10)15/h3-6,14H,2H2,1H3	218.208
CC(=O)OC1=CC=CC=C1C(=O)O	46780045	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)/i2D,3D,4D,5D	184.183
CC(=O)OC1=C(C=CC=C1CC#C)C(=O)O	44387869	InChI=1S/C12H10O4/c1-3-5-9-6-4-7-10(12(14)15)11(9)16-8(2)13/h1,4,6-7H,5H2,2H3,(H,14,15)	218.208
CC(=O)OC1=CC=CC=C1C(=O)O.C1=CC=C(C(=C1)C(=O)O)O	44153517	InChI=1S/C9H8O4.C7H6O3/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;8-6-4-2-1-3-5(6)7(9)10/h2-5H,1H3,(H,11,12);1-4,8H,(H,9,10)	318.281
CC(=C)C(=O)OCCOC(=O)C1=CC=CC=C1OC(=O)C	44146374	InChI=1S/C15H16O6/c1-10(2)14(17)19-8-9-20-15(18)12-6-4-5-7-13(12)21-11(3)16/h4-7H,1,8-9H2,2-3H3	292.287
[Li+].CC(=O)OC1=CC=CC=C1C(=O)[O-]	23680279	InChI=1S/C9H8O4.Li/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;/h2-5H,1H3,(H,11,12);/q;+1/p-1	186.091
CC(=O)OC1=CC=CC=C1C(=O)[O-].[K+]	23676700	InChI=1S/C9H8O4.K/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;/h2-5H,1H3,(H,11,12);/q;+1/p-1	218.249
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)[O-])O.[Na+]	23662396	InChI=1S/C14H10O5.Na/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17;/h1-8,15H,(H,16,17);/q;+1/p-1	280.211
CC(=O)OCCOC(=O)C1=CC=CC=C1O	23616336	InChI=1S/C11H12O5/c1-8(12)15-6-7-16-11(14)9-4-2-3-5-10(9)13/h2-5,13H,6-7H2,1H3	224.212
CC1=CC(=C(C=C1)OC(=O)C)C(=O)O	23251958	InChI=1S/C10H10O4/c1-6-3-4-9(14-7(2)11)8(5-6)10(12)13/h3-5H,1-2H3,(H,12,13)	194.186
CC(=O)OC1=C(C=CC=C1OC)C(=O)O	23251957	InChI=1S/C10H10O5/c1-6(11)15-9-7(10(12)13)4-3-5-8(9)14-2/h3-5H,1-2H3,(H,12,13)	210.185
C1=CC=C(C(=C1)C(=O)O)OC2=CC=C(C=C2)C(=O)O	22665073	InChI=1S/C14H10O5/c15-13(16)9-5-7-10(8-6-9)19-12-4-2-1-3-11(12)14(17)18/h1-8H,(H,15,16)(H,17,18)	258.229
C1=CC=C(C(=C1)C=O)OCCCC(=O)O	22172517	InChI=1S/C11H12O4/c12-8-9-4-1-2-5-10(9)15-7-3-6-11(13)14/h1-2,4-5,8H,3,6-7H2,(H,13,14)	208.213
CCCCCCCCCCCOC1=CC=CC=C1C(=O)O	22075680	InChI=1S/C18H28O3/c1-2-3-4-5-6-7-8-9-12-15-21-17-14-11-10-13-16(17)18(19)20/h10-11,13-14H,2-9,12,15H2,1H3,(H,19,20)	292.419
CCCCCCCCOC1=CC=CC=C1C(=O)[O-]	21888892	InChI=1S/C15H22O3/c1-2-3-4-5-6-9-12-18-14-11-8-7-10-13(14)15(16)17/h7-8,10-11H,2-6,9,12H2,1H3,(H,16,17)/p-1	249.33
CC(=C)C(=O)OC1=CC=CC=C1C(=O)C	19877902	InChI=1S/C12H12O3/c1-8(2)12(14)15-11-7-5-4-6-10(11)9(3)13/h4-7H,1H2,2-3H3	204.225
CCCCCCCCCCCCCCOC1=CC=CC=C1C(=O)O	19860605	InChI=1S/C21H34O3/c1-2-3-4-5-6-7-8-9-10-11-12-15-18-24-20-17-14-13-16-19(20)21(22)23/h13-14,16-17H,2-12,15,18H2,1H3,(H,22,23)	334.5
CCC(=O)OC1=CC=CC(=C1)C(=O)O	18762077	InChI=1S/C10H10O4/c1-2-9(11)14-8-5-3-4-7(6-8)10(12)13/h3-6H,2H2,1H3,(H,12,13)	194.186
C1=CC=C(C(=C1)C(=O)O)OC(=O)O	18681509	InChI=1S/C8H6O5/c9-7(10)5-3-1-2-4-6(5)13-8(11)12/h1-4H,(H,9,10)(H,11,12)	182.131
C1=CC=C(C(=C1)C(=O)O)OCO	18622960	InChI=1S/C8H8O4/c9-5-12-7-4-2-1-3-6(7)8(10)11/h1-4,9H,5H2,(H,10,11)	168.148
C1=CC=C(C(=C1)C(=O)O)OC(=O)C(Br)Br	18477068	InChI=1S/C9H6Br2O4/c10-7(11)9(14)15-6-4-2-1-3-5(6)8(12)13/h1-4,7H,(H,12,13)	337.951
CC(C)(C)OC1=CC=CC=C1C(=O)O	18327160	InChI=1S/C11H14O3/c1-11(2,3)14-9-7-5-4-6-8(9)10(12)13/h4-7H,1-3H3,(H,12,13)	194.23
B(C1=CC(=C(C=C1)C(=O)OC)OC)(O)O	17750256	InChI=1S/C9H11BO5/c1-14-8-5-6(10(12)13)3-4-7(8)9(11)15-2/h3-5,12-13H,1-2H3	209.992
C1=CC=C(C(=C1)C=O)OCCC(=O)O	17607740	InChI=1S/C10H10O4/c11-7-8-3-1-2-4-9(8)14-6-5-10(12)13/h1-4,7H,5-6H2,(H,12,13)	194.186
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCCCO[N+](=O)[O-]	16747581	InChI=1S/C12H13NO7/c14-11(7-3-4-8-19-13(17)18)20-10-6-2-1-5-9(10)12(15)16/h1-2,5-6H,3-4,7-8H2,(H,15,16)	283.236
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCCCCO[N+](=O)[O-]	16747580	InChI=1S/C13H15NO7/c15-12(8-2-1-5-9-20-14(18)19)21-11-7-4-3-6-10(11)13(16)17/h3-4,6-7H,1-2,5,8-9H2,(H,16,17)	297.263
CC(C)(CO[N+](=O)[O-])C(=O)OC1=CC=CC=C1C(=O)O	16747579	InChI=1S/C12H13NO7/c1-12(2,7-19-13(17)18)11(16)20-9-6-4-3-5-8(9)10(14)15/h3-6H,7H2,1-2H3,(H,14,15)	283.236
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCCO[N+](=O)[O-]	16746705	InChI=1S/C11H11NO7/c13-10(6-3-7-18-12(16)17)19-9-5-2-1-4-8(9)11(14)15/h1-2,4-5H,3,6-7H2,(H,14,15)	269.209
C1=CC=C(C(=C1)C(=O)O)OC(=O)CCO[N+](=O)[O-]	16746704	InChI=1S/C10H9NO7/c12-9(5-6-17-11(15)16)18-8-4-2-1-3-7(8)10(13)14/h1-4H,5-6H2,(H,13,14)	255.182
C1=CC=C(C(=C1)C(=O)O)OC(=O)C=CC(=O)OC2=CC=CC=C2C(=O)O	16667734	InChI=1S/C18H12O8/c19-15(25-13-7-3-1-5-11(13)17(21)22)9-10-16(20)26-14-8-4-2-6-12(14)18(23)24/h1-10H,(H,21,22)(H,23,24)/b10-9+	356.286
