PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHI	PUBCHEM_MOLECULAR_WEIGHT
COC(=O)C1=CC=CC=C1O	4133	InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3	152.149
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O	8361	InChI=1S/C13H10O3/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10/h1-9,14H	214.22
CC(=O)OC1=CC=CC=C1C(=O)O	2244	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)	180.159
CCOC(=O)C1=CC=CC=C1O	8365	InChI=1S/C9H10O3/c1-2-12-9(11)7-5-3-4-6-8(7)10/h3-6,10H,2H2,1H3	166.176
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O	5161	InChI=1S/C14H10O5/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17/h1-8,15H,(H,16,17)	258.229
COC1=CC=CC=C1C(=O)OC	61151	InChI=1S/C9H10O3/c1-11-8-6-4-3-5-7(8)9(10)12-2/h3-6H,1-2H3	166.176
COC1=CC=CC=C1C(=O)O	11370	InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)	152.149
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(=O)O	9458	InChI=1S/C10H7F3O4/c1-5(14)17-8-4-6(10(11,12)13)2-3-7(8)9(15)16/h2-4H,1H3,(H,15,16)	248.157
CCCCOC(=O)C1=CC=CC=C1O	16330	InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-6-4-5-7-10(9)12/h4-7,12H,2-3,8H2,1H3	194.23
COC1=C(C(=CC=C1)OC)C(=O)O	15109	InChI=1S/C9H10O4/c1-12-6-4-3-5-7(13-2)8(6)9(10)11/h3-5H,1-2H3,(H,10,11)	182.175
CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2C(=O)O	10745	InChI=1S/C16H12O6/c1-10(17)21-14-9-5-3-7-12(14)16(20)22-13-8-4-2-6-11(13)15(18)19/h2-9H,1H3,(H,18,19)	300.266
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O	69091	InChI=1S/C14H12O3/c1-10-6-8-11(9-7-10)17-14(16)12-4-2-3-5-13(12)15/h2-9,15H,1H3	228.247
CC(=O)OC1=CC=CC=C1C(=O)OC	68484	InChI=1S/C10H10O4/c1-7(11)14-9-6-4-3-5-8(9)10(12)13-2/h3-6H,1-2H3	194.186
CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O	68093	InChI=1S/C11H10O6/c1-6(12)16-9-5-3-4-8(11(14)15)10(9)17-7(2)13/h3-5H,1-2H3,(H,14,15)	238.195
CCOC(=O)C1=CC=CC=C1OC	81784	InChI=1S/C10H12O3/c1-3-13-10(11)8-6-4-5-7-9(8)12-2/h4-7H,3H2,1-2H3	180.203
CC1=CC=CC(=C1OC(=O)C)C(=O)O	78094	InChI=1S/C10H10O4/c1-6-4-3-5-8(10(12)13)9(6)14-7(2)11/h3-5H,1-2H3,(H,12,13)	194.186
CCCOC(=O)C1=CC=CC=C1O	69092	InChI=1S/C10H12O3/c1-2-7-13-10(12)8-5-3-4-6-9(8)11/h3-6,11H,2,7H2,1H3	180.203
CC(=CCOC(=O)C1=CC=CC=C1O)C	50216	InChI=1S/C12H14O3/c1-9(2)7-8-15-12(14)10-5-3-4-6-11(10)13/h3-7,13H,8H2,1-2H3	206.241
CC(=O)OC1=CC=CC=C1C(=O)OC(=O)C2=CC=CC=C2OC(=O)C	15110	InChI=1S/C18H14O7/c1-11(19)23-15-9-5-3-7-13(15)17(21)25-18(22)14-8-4-6-10-16(14)24-12(2)20/h3-10H,1-2H3	342.303
COC(=O)C1=CC=CC=C1OC(=O)C2=CC=CC=C2	285225	InChI=1S/C15H12O4/c1-18-15(17)12-9-5-6-10-13(12)19-14(16)11-7-3-2-4-8-11/h2-10H,1H3	256.257
CCCCC(=O)OC1=CC=CC=C1C(=O)O	135269	InChI=1S/C12H14O4/c1-2-3-8-11(13)16-10-7-5-4-6-9(10)12(14)15/h4-7H,2-3,8H2,1H3,(H,14,15)	222.24
CCC(=O)OC1=CC=CC=C1C(=O)O	95938	InChI=1S/C10H10O4/c1-2-9(11)14-8-6-4-3-5-7(8)10(12)13/h3-6H,2H2,1H3,(H,12,13)	194.186
