PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
CC1=NC=CN1	12749	LXBGSDVWAMZHDD-UHFFFAOYSA-N	C4H6N2	82.106
C1=CN=CN1	795	RAXXELZNTBOGNW-UHFFFAOYSA-N	C3H4N2	68.079
C1=C(NC=N1)Br	96125	FHZALEJIENDROK-UHFFFAOYSA-N	C3H3BrN2	146.975
C1=CN=C(N1)N	82140	DEPDDPLQZYCHOH-UHFFFAOYSA-N	C3H5N3	83.094
C1=CN=C(N1)Cl	2773328	OCVXSFKKWXMYPF-UHFFFAOYSA-N	C3H3ClN2	102.521
C1=C(NC=N1)N	484	QRZMXADUXZADTF-UHFFFAOYSA-N	C3H5N3	83.094
C1=CN=C(N1)Br	2773261	AXHRGVJWDJDYPO-UHFFFAOYSA-N	C3H3BrN2	146.975
C[N+]1=CNC=C1	444235	MCTWTZJPVLRJOU-UHFFFAOYSA-O	C4H7N2+	83.114
C1=CN=CN1.[Na]	57373095	YNCPXBIZAPNQIJ-UHFFFAOYSA-N	C3H4N2Na	91.069
C1=CN=CN1	11701027	RAXXELZNTBOGNW-MSWVZFBTSA-N	C3H4N2	72.103
C1=CN=CN1.Cl	10197644	JDIIGWSSTNUWGK-UHFFFAOYSA-N	C3H5ClN2	104.537
C1=CN=C(N1)I	2773468	MHHDMDLNVVCTAJ-UHFFFAOYSA-N	C3H3IN2	193.975
C1=CN=C(N1)CN	1382041	CRZDNISJUXVSKX-UHFFFAOYSA-N	C4H7N3	97.121
C1=C(NC=N1)I	606522	BHCMXJKPZOPRNN-UHFFFAOYSA-N	C3H3IN2	193.975
C1=CN=C(N1)F	559542	LNFZAUNJFRYZLE-UHFFFAOYSA-N	C3H3FN2	86.069
CC1=[N+](C=CN1)C	444800	GIWQSPITLQVMSG-UHFFFAOYSA-O	C5H9N2+	97.141
C1=C[NH+]=CN1	444234	RAXXELZNTBOGNW-UHFFFAOYSA-O	C3H5N2+	69.087
C=C[N+]1=CNC=C1	444230	OSSNTDFYBPYIEC-UHFFFAOYSA-O	C5H7N2+	95.125
C1=CN=C(N1)NN	283401	KRCJXGOZWLRNBO-UHFFFAOYSA-N	C3H6N4	98.109
C1=CN=C(N1)N.OS(=O)(=O)O	135136	LEUJVEZIEALICS-UHFFFAOYSA-N	C3H7N3O4S	181.166
C1=C(NC=N1)F	99297	HWUPTWDARIVICI-UHFFFAOYSA-N	C3H3FN2	86.069
C1=CN=C(N1)C(=N)N	135742022	QWASYWCALRURNQ-UHFFFAOYSA-N	C4H6N4	110.12
[B-](F)(F)(F)F.C1=C[NH+]=CN1	129689385	JUOVGTNBPZKSCY-UHFFFAOYSA-O	C3H5BF4N2	155.891
CC1=NC=CN1	59638552	LXBGSDVWAMZHDD-RSRPWSGMSA-N	C4H6N2	88.143
