PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
C[N+]1=CNC=C1.[Cl-]	24763701	STCBHSHARMAIOM-UHFFFAOYSA-N	C4H7ClN2	118.564
C1=CN=C(N1)CBr	21893373	JMIPWQWATHJTMZ-UHFFFAOYSA-N	C4H5BrN2	161.002
COC1=NC=CN1	19348571	YQSPOXMPYQYCSI-UHFFFAOYSA-N	C4H6N2O	98.105
C1=CN=C(N1)NO	13805835	UTZNBBAISHNYPT-UHFFFAOYSA-N	C3H5N3O	99.093
C1=C(NC(=N1)I)I	12527371	VZSKMIVGFKARLQ-UHFFFAOYSA-N	C3H2I2N2	319.872
C1=CN=C(N1)CN.Cl.Cl	12417863	KYUDBQDDNKPSIC-UHFFFAOYSA-N	C4H9Cl2N3	170.037
C1=CN=C(N1)N=[N+]=[N-]	12211239	LNZGJSJLLKXPKU-UHFFFAOYSA-N	C3H3N5	109.092
C1=CN=C(N1)N.Cl	12211238	QKUZBZFCWCJPFK-UHFFFAOYSA-N	C3H6ClN3	119.552
C1=CN=CN1.Br	12203052	VWUCIBOKNZGWLX-UHFFFAOYSA-N	C3H5BrN2	148.991
CN(C)CC1=NC=CN1	11457689	SJAACDLJWHJJFO-UHFFFAOYSA-N	C6H11N3	125.175
CN(C)C1=NC=CN1	10964437	WLFOHIVICZSIKG-UHFFFAOYSA-N	C5H9N3	111.148
C1=CN=C(N1)C#N	564456	QMQZIXCNLUPEIN-UHFFFAOYSA-N	C4H3N3	93.089
CC1=NC=CN1.Cl	521629	YZPNFYQRPJKWFJ-UHFFFAOYSA-N	C4H7ClN2	118.564
CN(C)N=NC1=NC=CN1	136102860	YTGQYWOVCFEUQK-UHFFFAOYSA-N	C5H9N5	139.162
C1=CN=C(N1)N=NN	135966583	ZHQFCIVAXUTIGP-UHFFFAOYSA-N	C3H5N5	111.108
C1=CN=C(N1)N=N	135839345	RIFMFQYVPPEMFK-UHFFFAOYSA-N	C3H4N4	96.093
C1=CN=C(N1)C=N	135819070	CWGOCYXTOJEBFI-UHFFFAOYSA-N	C4H5N3	95.105
C1=C[NH+]=CN1.F[P-](F)(F)(F)(F)F	131722832	ZYYVVEUWCLYJRA-UHFFFAOYSA-O	C3H5F6N2P	214.051
C1=CN=C(N1)[SiH3]	123770229	CHADYUSNUWWKFP-UHFFFAOYSA-N	C3H6N2Si	98.18
C1=CN=C(N1)C2=[N+]=CC=N2	91522937	HVEHTNLSYGZELD-UHFFFAOYSA-O	C6H5N4+	133.134
C1=CN=C(N1)NS(=O)[O-]	66624416	OPIDKGMATVLIOB-UHFFFAOYSA-M	C3H4N3O2S-	146.144
C1=C[N+](=CN1)CCCN	60111646	KDHWOCLBMVSZPG-UHFFFAOYSA-O	C6H12N3+	126.183
C1=C(NC(=N1)F)F	58625658	VJNDMYVTPKKIBG-UHFFFAOYSA-N	C3H2F2N2	104.06
CC1=NC=CN1	57636742	LXBGSDVWAMZHDD-RHIBPKLGSA-N	C4H6N2	87.137
C1=CN=[C+]N1	57448410	SJHLSFIIKBXZJM-UHFFFAOYSA-N	C3H3N2+	67.071
C1=CN=C(N1)P=O	57185880	BBPKMHGLEXCMAK-UHFFFAOYSA-N	C3H3N2OP	114.044
C1=CN=C(N1)P	57182093	QGVQERKFDGXVOE-UHFFFAOYSA-N	C3H5N2P	100.061
[B]C1=NC=CN1	56987583	WZSDVEROYBICQH-UHFFFAOYSA-N	C3H3BN2	77.881
C1=CN=C(N1)N=O	54568767	ZVSQHECVDXAQCK-UHFFFAOYSA-N	C3H3N3O	97.077
C1=CN=C(N1)CN=[N+]=[N-]	54050980	LSVKTELZGPRGIJ-UHFFFAOYSA-N	C4H5N5	123.119
C1=CN=C(N1)SN	53820979	FVSMLEVHHGKQNT-UHFFFAOYSA-N	C3H5N3S	115.154
CCCNC1=NC=CN1	53792760	CWPNEWMQULRDTG-UHFFFAOYSA-N	C6H11N3	125.175
B(C1=NC=CN1)(O)O	45073602	JKCHHDHEHOKKQP-UHFFFAOYSA-N	C3H5BN2O2	111.895
C1=C[NH+]=CN1.[Br-]	22475980	VWUCIBOKNZGWLX-UHFFFAOYSA-N	C3H5BrN2	148.991
CNCC1=NC=CN1	21973641	FXNGQGIWLUWGBV-UHFFFAOYSA-N	C5H9N3	111.148
C1=CN=C(N1)N=C=O	21269124	BEPSSQAKMVCCFV-UHFFFAOYSA-N	C4H3N3O	109.088
C1=CN=C(N1)NC(=S)N	20254321	SHONMXKHANENMC-UHFFFAOYSA-N	C4H6N4S	142.18
C#CC1=NC=CN1	20076915	DIPJUMYFUATARL-UHFFFAOYSA-N	C5H4N2	92.101
C1=CN=CN1.C1=CN=CN1	19689722	HUEXNHSMABCRTH-UHFFFAOYSA-N	C6H8N4	136.158
C1=CN=C(N1)N=C(N)N	19436692	JBARCTHFPUHCED-UHFFFAOYSA-N	C4H7N5	125.135
CCNC1=CN=CN1	18407651	GKAHYGRYUCURHP-UHFFFAOYSA-N	C5H9N3	111.148
C1=CN=C(N1)NC=O	18376592	SMXZQOMVCREYNY-UHFFFAOYSA-N	C4H5N3O	111.104
CCNC1=NC=CN1	17947814	KKKRLJYCDDWEMQ-UHFFFAOYSA-N	C5H9N3	111.148
C1=CN=CN1	16213375	RAXXELZNTBOGNW-MQIHXRCWSA-N	C3H4N2	70.065
CCN(CC)CC1=NC=CN1	14627457	DHRHYUYDWNXLMG-UHFFFAOYSA-N	C8H15N3	153.229
CC[N+]1=CNC=C1.[Cl-]	14627455	ABDVJABGTGHCPI-UHFFFAOYSA-N	C5H9ClN2	132.591
C[Si](C)(C)C1=NC=CN1	14420972	VTHCSXMNKNHJHY-UHFFFAOYSA-N	C6H12N2Si	140.261
CC1=NC=CN1	13001457	LXBGSDVWAMZHDD-FIBGUPNXSA-N	C4H6N2	85.124
C1=C(NC(=N1)N)N	12744658	DRLOWZIEXKEVNU-UHFFFAOYSA-N	C3H6N4	98.109
C1=CN=C(N1)F.Cl	12624627	PGQMOPKRUZDRSC-UHFFFAOYSA-N	C3H4ClFN2	122.527
C1=CN=CN1	12203053	RAXXELZNTBOGNW-WFVSFCRTSA-N	C3H4N2	69.085
C1=CN=CN1.I	12203051	JBOIAZWJIACNJF-UHFFFAOYSA-N	C3H5IN2	195.991
C1=CN=C(N1)C(F)F	12035264	QKKVAIYZXGCQAN-UHFFFAOYSA-N	C4H4F2N2	118.087
C1=CN=C(N1)CF	12035259	QMPSTEFUXBUTBT-UHFFFAOYSA-N	C4H5FN2	100.096
CC[N+]1=CNC=C1	12006956	IWDFHWZHHOSSGR-UHFFFAOYSA-O	C5H9N2+	97.141
C1=CN=C(N1)[N+]#N	11367527	CJAQLAGMNPLRAX-UHFFFAOYSA-N	C3H3N4+	95.085
C1=CN=C(N1)NC(=O)N	10219434	QYEMLLMAPAWTPT-UHFFFAOYSA-N	C4H6N4O	126.119
C1=CN=C(N1)CN=C(N)N	10080473	DBBQEGGZLRKENC-UHFFFAOYSA-N	C5H9N5	139.162
C1=CN=C(N1)CN.Cl	2769625	BVKSLJGZOIDXTK-UHFFFAOYSA-N	C4H8ClN3	133.579
CNC1=NC=CN1	535820	ZYXHZCQMCOVXJW-UHFFFAOYSA-N	C4H7N3	97.121
C1=CN=CN1.[Na+]	79700	KYPWTIZOPWGPMK-UHFFFAOYSA-N	C3H4N2Na+	91.069
[B](C)N=CC1=NC=CN1	137099300	CJQOJKRFRFVHCP-UHFFFAOYSA-N	C5H7BN3	119.942
C1=CN=C(N1)N=CN=C2N=CC=N2	136480487	ZFLXZGPPEAJDHM-LFYBBSHMSA-N	C7H6N6	174.167
CN=C(C1=NC=CN1)N	136293879	SWKZELFLNICKFT-UHFFFAOYSA-N	C5H8N4	124.147
C1=CN=C(N1)N=CN=C2N=CC=N2	136166604	ZFLXZGPPEAJDHM-UHFFFAOYSA-N	C7H6N6	174.167
C1=CN=C(N1)C=NO	135495057	UFKWQRUCZNBSDY-XVNBXDOJSA-N	C4H5N3O	111.104
CC#C[N+]1=CNC=C1	135320622	PQZMMHPATJFNNP-UHFFFAOYSA-O	C6H7N2+	107.136
C1=CN=CN1.C(Cl)Cl	132006557	XFGNLJBPPWHCIY-UHFFFAOYSA-N	C4H6Cl2N2	153.006
C1=CN=CN1.C(=[N-])=O.C(=[N-])=O	131715515	UAGLUNJFJWPKTG-UHFFFAOYSA-N	C5H4N4O2-2	152.113
C=C[N+]1=CNC=C1.Cl	130442455	RHBSVLZWJMBUBQ-UHFFFAOYSA-O	C5H8ClN2+	131.583
C[SiH2]C1=NC=CN1	123883515	AGXCRLAGBBPMLR-UHFFFAOYSA-N	C4H8N2Si	112.207
C[SiH](C)C1=NC=CN1	123600757	HLQULJIPSLUQNI-UHFFFAOYSA-N	C5H10N2Si	126.234
C1=CN=C(N1)[SiH]	123558197	WHPQRRMMPRNWGB-UHFFFAOYSA-N	C3H4N2Si	96.164
C1=C[N+](=C(N1)[SiH3])[SiH3]	123533836	QDBSLPHOOYBDSF-UHFFFAOYSA-O	C3H9N2Si2+	129.289
CCCN.CC1=NC=CN1	122445480	XFOIBXFCPZXWNV-UHFFFAOYSA-N	C7H15N3	141.218
CN(C)C.C1=CN=CN1	118366801	OLKVGHPRCCTEEF-UHFFFAOYSA-N	C6H13N3	127.191
C1=C[NH+]=C(N1)N	102496793	DEPDDPLQZYCHOH-UHFFFAOYSA-O	C3H6N3+	84.102
C1N=CSN1C2=NC=CN2	91584057	QSCAKLDZINVLIL-UHFFFAOYSA-N	C5H6N4S	154.191
C1=C[N+](=CN1)C(F)F	91499083	QQJXCDUJHKLIBD-UHFFFAOYSA-O	C4H5F2N2+	119.095
CC.CCC.C1=CN=CN1	91479343	AJTXQOAXDDHIPV-UHFFFAOYSA-N	C8H18N2	142.246
CC.CC.CC.CC1=NC=CN1	91406544	FLKBYTBRSHAZRD-UHFFFAOYSA-N	C10H24N2	172.316
CC.CC1=NC=CN1	91394818	IKMVLNQGXGJCJQ-UHFFFAOYSA-N	C6H12N2	112.176
C1=C[N+](=CN1)CC(F)(F)F	91270514	SIQDXYGMYLVBTA-UHFFFAOYSA-O	C5H6F3N2+	151.112
CC.CC.CC.C1=CN=CN1	91227898	FFNOUTUCIZGMEF-UHFFFAOYSA-N	C9H22N2	158.289
C1=CN=C(N1)S#N	91227841	ZJJYEXIKHWMZSG-UHFFFAOYSA-N	C3H3N3S	113.138
CC.C[N+]1=CNC=C1	91185411	CIJUDJBAZORDME-UHFFFAOYSA-O	C6H13N2+	113.184
CC.CC.C1=C(NC=N1)I	91179621	YGOXRRKPFJFHES-UHFFFAOYSA-N	C7H15IN2	254.115
CC.CC.CC1=NC=CN1	90999384	YVNYRUNFUHHTEU-UHFFFAOYSA-N	C8H18N2	142.246
CC.C1=CN=C(N1)N	90958033	MOASQWDQANNXBV-UHFFFAOYSA-N	C5H11N3	113.164
C=C=N.C1=CN=CN1	90842746	SDJWUFPPYYEDLD-UHFFFAOYSA-N	C5H7N3	109.132
C1=C[N+](=CN1)C(F)(F)F	90688039	RLXUXICUOSILHE-UHFFFAOYSA-O	C4H4F3N2+	137.085
C1=CN=C(N1)NCCCN=[N+]=[N-]	89395951	IAQMDPCAGJBEIO-UHFFFAOYSA-N	C6H10N6	166.188
CCNCCNC1=NC=CN1	89248863	FDFPQPLUAVQPDV-UHFFFAOYSA-N	C7H14N4	154.217
CN=C(NCCN(C)C1=NC=CN1)NC#N	88768762	DVOXLNSHGNVDNM-UHFFFAOYSA-N	C9H15N7	221.268
CCNSC.C1=CN=CN1	88712658	ZHURZFIXAXPZMN-UHFFFAOYSA-N	C6H13N3S	159.251
C1=CN=C(N1)CNCl	88577512	VMSRIEXSHQEXFM-UHFFFAOYSA-N	C4H6ClN3	131.563
C=CCl.C1=CN=CN1	88345874	WLZMBOSJGFTJMH-UHFFFAOYSA-N	C5H7ClN2	130.575
C=CC=C.C1=CN=CN1	88188586	QNPPARZHXFWMOV-UHFFFAOYSA-N	C7H10N2	122.171
C1=CN=CN1.C(#N)C(C#N)C#N	88095684	LTPNJWGSTXGDSJ-UHFFFAOYSA-N	C7H5N5	159.152
C1=CN=C(N1)OO	87982000	SUBBXRJWRNQMOW-UHFFFAOYSA-N	C3H4N2O2	100.077
C1=CN=CN1.P(Cl)(Cl)Cl	87915629	VSYPNDQPNLIBBD-UHFFFAOYSA-N	C3H4Cl3N2P	205.403
C1=CN=C(N1)NC=S	87445033	QQMBJGHXBVKJMB-UHFFFAOYSA-N	C4H5N3S	127.165
C1=CN=CN1.O=P(Cl)(Cl)Cl	87425610	NYISXWJQHZXVLY-UHFFFAOYSA-N	C3H4Cl3N2OP	221.402
C[Sn](C)(C)C1=CN=CN1	86680241	TYJSUWKAPZFEBY-UHFFFAOYSA-N	C6H12N2Sn	230.886
[C-]#[N+]C1=NC=CN1	83478493	SBAFRDVEQHBHEM-UHFFFAOYSA-N	C4H3N3	93.089
C1=CN=CN1.Cl[Cu]Cl	70614724	OJDRAXFRSSAHTE-UHFFFAOYSA-L	C3H4Cl2CuN2	202.525
C=C[N+]1=C(NC=C1)N.[Cl-]	70396018	QRFFOZPAFMVTBF-UHFFFAOYSA-N	C5H8ClN3	145.59
CCCl.C1=CN=CN1	70255267	NBBNKEUTDYZCMF-UHFFFAOYSA-N	C5H9ClN2	132.591
C1NCN(CN1)C2=NC=CN2	69597381	PFJOIHZSYICTIT-UHFFFAOYSA-N	C6H11N5	153.189
CN1CN(C=C1)C.C1=CN=CN1	69481335	RIXIUONAWKXZKB-UHFFFAOYSA-N	C8H14N4	166.228
CC=NC1=NC=CN1	69465100	CNUUOGVMOQELSV-UHFFFAOYSA-N	C5H7N3	109.132
CCCC[Sn](CCCC)CCCC.C1=CN=CN1	69256052	QTTQWSLJNZICGP-UHFFFAOYSA-N	C15H31N2Sn	358.137
CCCCN(C)C1=NC=CN1	69162445	UHUQLNISWUSIHB-UHFFFAOYSA-N	C8H15N3	153.229
CCCN(C)C1=NC=CN1	69162014	HALTVWWFSCOHDP-UHFFFAOYSA-N	C7H13N3	139.202
CCCN(CC)C1=NC=CN1	69160806	IPCRMVLBHBLZPI-UHFFFAOYSA-N	C8H15N3	153.229
C[Si](C)(C)[N+]1=CNC=C1	68981711	YKFRUJSEPGHZFJ-UHFFFAOYSA-O	C6H13N2Si+	141.269
CCN(CC)C1=NC=CN1	68980990	MGUOVDGNZYHLRF-UHFFFAOYSA-N	C7H13N3	139.202
CCCC.C1=CN=CN1.Br	68521584	ZSIFQZIRMWFHDM-UHFFFAOYSA-N	C7H15BrN2	207.115
C1=CN=C(N1)OC(=N)N	68500618	HXIRNGSZAZOKAN-UHFFFAOYSA-N	C4H6N4O	126.119
C=CC#N.C1=CN=CN1	67913212	XKBZYRBYAKCGAI-UHFFFAOYSA-N	C6H7N3	121.143
C=CCN.C1=CN=CN1	67656014	NVUKBCDSGYHILL-UHFFFAOYSA-N	C6H11N3	125.175
C1=CN=CN1.C1=CN=CN1.N	67382236	QDWGVPHTWADFBN-UHFFFAOYSA-N	C6H11N5	153.189
CCC.C1=CN=CN1	67173283	XPERNSXXODDLCL-UHFFFAOYSA-N	C6H12N2	112.176
C1=CN=CN1.[K]	67086713	RBWFVUDBNNXTFZ-UHFFFAOYSA-N	C3H4KN2	107.177
C1=CN=CN1	66995563	RAXXELZNTBOGNW-FRSWOAELSA-N	C3H4N2	71.058
C1CN(CN1)C2=NC=CN2	66972299	BSECANZNJWAEJC-UHFFFAOYSA-N	C6H10N4	138.174
CC[N+]1(C=CN=C1)C.C1=CN=CN1	66953169	ZNKRKPBDAOJFJV-UHFFFAOYSA-N	C9H15N4+	179.247
C1=C[N+](=CN1)C#N	66934574	SLPWXZZHNSOZPX-UHFFFAOYSA-O	C4H4N3+	94.097
C1=CN=C(N1)OS(=O)[O-]	66925760	AZTFKFABBULLQV-UHFFFAOYSA-M	C3H3N2O3S-	147.128
CCCI.C1=CN=CN1	66869097	MMEYRWYFFAYXIK-UHFFFAOYSA-N	C6H11IN2	238.072
CCC(C)I.C1=CN=CN1	66825900	TWVADCXKGQKHAU-UHFFFAOYSA-N	C7H13IN2	252.099
C1=CN=C(N1)CNCCN	61558223	RFDIFEYLTLSCIF-UHFFFAOYSA-N	C6H12N4	140.19
[CH2-]C1=NC=CN1.[Y]	60007884	OYBTVNZVZQSUES-UHFFFAOYSA-N	C4H5N2Y-	170.004
C[NH+](C)CC1=NC=CN1	59904099	SJAACDLJWHJJFO-UHFFFAOYSA-O	C6H12N3+	126.183
CNC[N+]1=CNC=C1	59878228	LPOHRRYPINQLSL-UHFFFAOYSA-O	C5H10N3+	112.156
C1=C[N+](=CN1)CCN	59660084	YCIRHAGYEUJTFH-UHFFFAOYSA-O	C5H10N3+	112.156
C1=[C+]N=CN1	59426909	NDVXROYZWDEYNM-UHFFFAOYSA-N	C3H3N2+	67.071
C1=C[N+](=CN1)F	59297337	VPKVKBZXORVFIU-UHFFFAOYSA-O	C3H4FN2+	87.077
C1C=NC(=N1)C2=NC=CN2	59237753	GYFFGKLQCVHEIK-UHFFFAOYSA-N	C6H6N4	134.142
B(C)(C)C1=CN=CN1	59204277	NUBNZQLELNAYMJ-UHFFFAOYSA-N	C5H9BN2	107.951
CCN(C)C1=NC=CN1	59020894	RLRKRCSHUQRIJG-UHFFFAOYSA-N	C6H11N3	125.175
[CH3-].C1=C[N-]C=[NH+]1.[Y]	58544439	DVLDEGWDHXIXDR-UHFFFAOYSA-O	C4H7N2Y-	172.02
[B](C)C1=CN=CN1	58449810	RJIYGMQXZXVRDG-UHFFFAOYSA-N	C4H6BN2	92.916
[C-]#[N+]CC1=NC=CN1	57977456	AZAUDRCMASWQPF-UHFFFAOYSA-N	C5H5N3	107.116
C[N+]1=C(NC=C1)CN(C)C	57920398	FKSKZOXOLXOIQV-UHFFFAOYSA-O	C7H14N3+	140.21
C1=CN=C(N1)NOOS(=O)[O-]	57910229	FOMWVQFIOZNYMB-UHFFFAOYSA-M	C3H4N3O4S-	178.142
[CH]NCC1=NC=CN1	57582138	KQAOJAIPCVYRAU-UHFFFAOYSA-N	C5H7N3	109.132
CNC1=NC=CN1.Cl.Cl	57434550	ATSGBUFKFKGFCT-UHFFFAOYSA-N	C4H9Cl2N3	170.037
C1CN(C=N1)C2=NC=CN2	57283621	BIQVTTSXBZGPLP-UHFFFAOYSA-N	C6H8N4	136.158
CCN(CC)CC[N+]1=CNC=C1	57127192	SBLQHHBJUNSWEK-UHFFFAOYSA-O	C9H18N3+	168.264
CCN(CC)C1=CN=CN1	57038985	TUHKRAOFZPTYPS-UHFFFAOYSA-N	C7H13N3	139.202
C1=C[N+](=CN1)O	57021913	OPFNZHIUHJBGEW-UHFFFAOYSA-O	C3H5N2O+	85.086
CC(C)NC1=NC=CN1	55300557	RMOJGMAYNPFYHB-UHFFFAOYSA-N	C6H11N3	125.175
CCN(C)CC1=NC=CN1	55285283	UARSHHSNAUZJAO-UHFFFAOYSA-N	C7H13N3	139.202
C1=CN=C(N1)NP	54465577	XEPFIYCSIDPNCL-UHFFFAOYSA-N	C3H6N3P	115.076
CCCN(C1=NC=CN1)C(=N)N	54452921	WWENSWMVUHEHRF-UHFFFAOYSA-N	C7H13N5	167.216
CN(C)C=NC1=NC=CN1	54387791	VEMHGBRKKQAHQD-UHFFFAOYSA-N	C6H10N4	138.174
CCCN=C(N)NC1=CN=CN1	54291253	RXQXCIITJQRRHX-UHFFFAOYSA-N	C7H13N5	167.216
CC(=S)NC1=NC=CN1	54241450	QQHLHLOIMBRAMH-UHFFFAOYSA-N	C5H7N3S	141.192
C=CCNC1=NC=CN1	54207186	PTHYEYDRXBHERO-UHFFFAOYSA-N	C6H9N3	123.159
CC.CC.C1=CN=CN1	54178965	PALHVEAQPFAVDT-UHFFFAOYSA-N	C7H16N2	128.219
C1=CN=C(N1)[N+](N)(N)N	54137853	ANLKJNBGYRMFDM-UHFFFAOYSA-N	C3H9N6+	129.147
C1CC1NC2=NC=CN2	54123164	NPDGWKYARBFUCZ-UHFFFAOYSA-N	C6H9N3	123.159
CC#CC1=NC=CN1	54102072	NBEMOVGWWWJNPU-UHFFFAOYSA-N	C6H6N2	106.128
[C-]#[N+]C1=CN=CN1	54088885	MSLRJZMCTFXZIU-UHFFFAOYSA-N	C4H3N3	93.089
CC.C1=CN=CN1	54086394	MQUIVSSIQZNDQD-UHFFFAOYSA-N	C5H10N2	98.149
B(O)(O)OC1=NC=CN1	54023892	LAUUFZMMJLNSKD-UHFFFAOYSA-N	C3H5BN2O3	127.894
CC(N)NCC1=NC=CN1	53702493	BUWSOINOVSYRBU-UHFFFAOYSA-N	C6H12N4	140.19
B(C1=CN=CN1)(O)O	52988092	GUSNYROLFJGBCT-UHFFFAOYSA-N	C3H5BN2O2	111.895
C1=C(NC=N1)I(=O)=O	44345402	NEISUZQCSLKBFL-UHFFFAOYSA-N	C3H3IN2O2	225.973
C1=C[NH+]=C(N1)Cl	44140586	OCVXSFKKWXMYPF-UHFFFAOYSA-O	C3H4ClN2+	103.529
CCl.C=C[N+]1=CNC=C1	24769690	JJHXBHDPYFGKLE-UHFFFAOYSA-O	C6H10ClN2+	145.61
C1CNCCN1.C1=CN=CN1	23322302	OMZQDTYQLHGJGM-UHFFFAOYSA-N	C7H14N4	154.217
C1=C[N+](=CN1)S(=O)(=O)O	23185160	DJQSZCMOJNOVPS-UHFFFAOYSA-O	C3H5N2O3S+	149.144
CN(C)C1=CN=CN1	23064530	NVFFDPHSQRRFKK-UHFFFAOYSA-N	C5H9N3	111.148
CNC1=CN=CN1	23064418	HFAWKTWWZYNOPU-UHFFFAOYSA-N	C4H7N3	97.121
C[N+](=CC1=NC=CN1)C	22986661	CPWVWAMQJRNLIU-UHFFFAOYSA-O	C6H10N3+	124.167
C1=CN=C(N1)NOO	22980301	LELMRFAMXCBBDJ-UHFFFAOYSA-N	C3H5N3O2	115.092
CC(C)(C)CNC1=NC=CN1	22915188	AHCIFCQSUFDVDB-UHFFFAOYSA-N	C8H15N3	153.229
CC(C)CNC1=NC=CN1	22915183	RQNGDUDQFNOBCS-UHFFFAOYSA-N	C7H13N3	139.202
CN(C1=NC=CN1)O	22900812	GQZFDKAMQVDWMK-UHFFFAOYSA-N	C4H7N3O	113.12
CCNC.C1=CN=CN1	22649915	DEGBUENKIXPRPG-UHFFFAOYSA-N	C6H13N3	127.191
CCN(CC)CC.C1=CN=CN1	22649777	CJOSOISHDAKZKA-UHFFFAOYSA-N	C9H19N3	169.272
CCCC.C1=CN=CN1	22568484	QIJZHTMNCPGZRJ-UHFFFAOYSA-N	C7H14N2	126.203
C1=CN=CN1.[N+](=O)(O)[O-]	22376023	QSWSKDXFOIOXKW-UHFFFAOYSA-N	C3H5N3O3	131.091
C1CN(CCN1)C2=NC=CN2	22361242	MHMOUFDAKNJXSK-UHFFFAOYSA-N	C7H12N4	152.201
C1CN=CN1.C1=CN=CN1	22324455	MOOGYWRPKHQBEK-UHFFFAOYSA-N	C6H10N4	138.174
CCCNCC1=NC=CN1	22318598	PYDGXHUDWXDYGT-UHFFFAOYSA-N	C7H13N3	139.202
CCNCC1=NC=CN1	22318564	YBZZOLVIHMQPDY-UHFFFAOYSA-N	C6H11N3	125.175
C1=CN=C(N1)OS	22101767	BQNDCGWCOKTWNH-UHFFFAOYSA-N	C3H4N2OS	116.138
C1=CN=CN1.C(=O)(N)N	22055161	DKCWQRKXTQSULZ-UHFFFAOYSA-N	C4H8N4O	128.135
C1=CN=C(N1)SS	21983490	JVLIRTDPCYSJQA-UHFFFAOYSA-N	C3H4N2S2	132.199
C1=C(NC=N1)[Si]	21951211	RGCUMMLRGJWNJD-UHFFFAOYSA-N	C3H3N2Si	95.156
CCC[N+]1=CNC=C1	21748455	IYVYLVCVXXCYRI-UHFFFAOYSA-O	C6H11N2+	111.168
CC1=[N+](C=CN1)C=C	21549859	BDHGFCVQWMDIQX-UHFFFAOYSA-O	C6H9N2+	109.152
C1CN=C(N1)NC2=CN=CN2	21424112	XINWLQGYOROZMG-UHFFFAOYSA-N	C6H9N5	151.173
C#CCN.C1=CN=CN1	21224565	JYEYTMHKVOIDNT-UHFFFAOYSA-N	C6H9N3	123.159
CCCCNC1=NC=CN1	21050659	KQECJUJIWCERRA-UHFFFAOYSA-N	C7H13N3	139.202
C1=CN=C(N1)[Te]C2=NC=CN2	20756413	CAGAWTIGFIZQHI-UHFFFAOYSA-N	C6H6N4Te	261.742
[CH3-].C1=CN=C(N1)[NH-].[U+2]	20644720	PYIFKXXOTACBPU-UHFFFAOYSA-N	C4H7N3U	335.15
CP(C)C1=NC=CN1	20591212	IIBUYUQFHZDRFP-UHFFFAOYSA-N	C5H9N2P	128.115
